# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3008, i.e. number of multipoles equal to 3007
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   82       2.165727795338e+03       5.066467979930e-01       0.000000000000e+00      -1.195365073573e+01       1.136974093867e-07       4.863812546820e-04      -1.339175953074e-06 
   83       2.192775528249e+03       5.219734518754e-01       0.000000000000e+00      -1.253320098516e+01       1.130389206510e-07       4.801427352684e-04      -1.336742451556e-06 
   84       2.220059146567e+03       5.373895588722e-01       0.000000000000e+00      -1.312117526008e+01       1.123719339825e-07       4.739909032017e-04      -1.331210373046e-06 
   85       2.247581315959e+03       5.528827646519e-01       0.000000000000e+00      -1.371718394124e+01       1.117001151954e-07       4.679338932590e-04      -1.322985373961e-06 
   86       2.275345333013e+03       5.684405534029e-01       0.000000000000e+00      -1.432082911549e+01       1.110291980333e-07       4.619894416323e-04      -1.312751809942e-06 
   87       2.303352728754e+03       5.840500465294e-01       0.000000000000e+00      -1.493169870185e+01       1.103635840574e-07       4.561709099921e-04      -1.301305048272e-06 
   88       2.331603178922e+03       5.996980020287e-01       0.000000000000e+00      -1.554936647738e+01       1.097061031272e-07       4.504868232895e-04      -1.289558002744e-06 
   89       2.360094414257e+03       6.153708138690e-01       0.000000000000e+00      -1.617339210303e+01       1.090577591419e-07       4.449403939799e-04      -1.278547817814e-06 
   90       2.388822130780e+03       6.310545113665e-01       0.000000000000e+00      -1.680332114945e+01       1.084174606983e-07       4.395290326692e-04      -1.269442702057e-06 
   91       2.417779900076e+03       6.467347585633e-01       0.000000000000e+00      -1.743868512289e+01       1.077817363176e-07       4.342438451828e-04      -1.263548910918e-06 
   92       2.446959079577e+03       6.623968536044e-01       0.000000000000e+00      -1.807900149099e+01       1.071444338976e-07       4.290691160566e-04      -1.262317878756e-06 
   93       2.476351450717e+03       6.780260411455e-01       0.000000000000e+00      -1.872378544158e+01       1.064992543729e-07       4.239888340161e-04      -1.267007369232e-06 
   94       2.505957782152e+03       6.936085046753e-01       0.000000000000e+00      -1.937258712571e+01       1.058489608738e-07       4.190091455549e-04      -1.277560710443e-06 
   95       2.535780394562e+03       7.091305229821e-01       0.000000000000e+00      -2.002496008981e+01       1.051983204873e-07       4.141399665991e-04      -1.293489130154e-06 
   96       2.565820495960e+03       7.245781740467e-01       0.000000000000e+00      -2.068045022630e+01       1.045513679121e-07       4.093880960542e-04      -1.314189316539e-06 
   97       2.596078129422e+03       7.399373387168e-01       0.000000000000e+00      -2.133859596045e+01       1.039112760821e-07       4.047569343941e-04      -1.338936432854e-06 
   98       2.626552120814e+03       7.551937043816e-01       0.000000000000e+00      -2.199892843729e+01       1.032802194400e-07       4.002461948881e-04      -1.366876976510e-06 
   99       2.657240026513e+03       7.703327686456e-01       0.000000000000e+00      -2.266097170857e+01       1.026592297049e-07       3.958516074651e-04      -1.397021482543e-06 
  100       2.688138081146e+03       7.853398430039e-01       0.000000000000e+00      -2.332424291958e+01       1.020480439751e-07       3.915646152154e-04      -1.428237071481e-06 
  101       2.719241145306e+03       8.002000565156e-01       0.000000000000e+00      -2.398825249610e+01       1.014449450097e-07       3.873720635298e-04      -1.459239841607e-06 
  102       2.750542653286e+03       8.148983594789e-01       0.000000000000e+00      -2.465250433130e+01       1.008465935307e-07       3.832558818767e-04      -1.488587105618e-06 
  103       2.782034560806e+03       8.294195271051e-01       0.000000000000e+00      -2.531649597263e+01       1.002478523880e-07       3.791927582163e-04      -1.514669471680e-06 
  104       2.813709033666e+03       8.437485136638e-01       0.000000000000e+00      -2.597971868217e+01       9.964369000422e-08       3.751611835833e-04      -1.536040636093e-06 
  105       2.845563886101e+03       8.578715614880e-01       0.000000000000e+00      -2.664165722434e+01       9.903589902281e-08       3.711649550344e-04      -1.552501097767e-06 
  106       2.877597783036e+03       8.717752493270e-01       0.000000000000e+00      -2.730179039785e+01       9.842783041308e-08       3.672137995447e-04      -1.564218331473e-06 
  107       2.909808532022e+03       8.854461626884e-01       0.000000000000e+00      -2.795959134292e+01       9.782239419359e-08       3.633163048580e-04      -1.571410761659e-06 
  108       2.942193050096e+03       8.988709013638e-01       0.000000000000e+00      -2.861452772683e+01       9.722198891148e-08       3.594798096168e-04      -1.574350630460e-06 
  109       2.974747330632e+03       9.120360869544e-01       0.000000000000e+00      -2.926606192938e+01       9.662842752240e-08       3.557102907845e-04      -1.573366923274e-06 
  110       3.007466410207e+03       9.249283703968e-01       0.000000000000e+00      -2.991365122848e+01       9.604285960178e-08       3.520122483593e-04      -1.568848351925e-06 
  111       3.040344335457e+03       9.375344394889e-01       0.000000000000e+00      -3.055674798559e+01       9.546568981795e-08       3.483885873819e-04      -1.561246395388e-06 
  112       3.073374129932e+03       9.498410264152e-01       0.000000000000e+00      -3.119479983127e+01       9.489649259791e-08       3.448404972340e-04      -1.551078398105e-06 
  113       3.106547760963e+03       9.618349152728e-01       0.000000000000e+00      -3.182724985066e+01       9.433392291623e-08       3.413673282306e-04      -1.538930725861e-06 
  114       3.139856106510e+03       9.735029495970e-01       0.000000000000e+00      -3.245353676904e+01       9.377562313790e-08       3.379664655036e-04      -1.525461979250e-06 
  115       3.173288922030e+03       9.848320398871e-01       0.000000000000e+00      -3.307309513729e+01       9.321812584572e-08       3.346332001782e-04      -1.511406264711e-06 
  116       3.206836311760e+03       9.958095170651e-01       0.000000000000e+00      -3.368536025145e+01       9.265812759078e-08       3.313628164208e-04      -1.497436598974e-06 
  117       3.240493416393e+03       1.006424225516e+00       0.000000000000e+00      -3.428978319327e+01       9.209689108724e-08       3.281575739238e-04      -1.483719448523e-06 
  118       3.274256235751e+03       1.016665577692e+00       0.000000000000e+00      -3.488581797518e+01       9.153671346454e-08       3.250207486646e-04      -1.470285381357e-06 
  119       3.308120155732e+03       1.026523230538e+00       0.000000000000e+00      -3.547291719479e+01       9.097960482403e-08       3.219544468455e-04      -1.457161633700e-06 
  120       3.342079928469e+03       1.035987096078e+00       0.000000000000e+00      -3.605053226223e+01       9.042724798063e-08       3.189595234013e-04      -1.444371829934e-06 
  121       3.376129652486e+03       1.045047351997e+00       0.000000000000e+00      -3.661811362756e+01       8.988095636886e-08       3.160354988099e-04      -1.431935696384e-06 
  122       3.410262752863e+03       1.053694452227e+00       0.000000000000e+00      -3.717511100812e+01       8.934163008164e-08       3.131804742053e-04      -1.419868768964e-06 
  123       3.444471961395e+03       1.061919137533e+00       0.000000000000e+00      -3.772097361587e+01       8.880971000994e-08       3.103910447934e-04      -1.408182094682e-06 
  124       3.478749296749e+03       1.069712446093e+00       0.000000000000e+00      -3.825515038480e+01       8.828513005177e-08       3.076622115705e-04      -1.396881926999e-06 
  125       3.513086044631e+03       1.077065724085e+00       0.000000000000e+00      -3.877709019830e+01       8.776726735859e-08       3.049872913444e-04      -1.385969415051e-06 
  126       3.547472737940e+03       1.083970636272e+00       0.000000000000e+00      -3.928624211648e+01       8.725489058757e-08       3.023578250582e-04      -1.375440286727e-06 
  127       3.581899136930e+03       1.090419176585e+00       0.000000000000e+00      -3.978205560359e+01       8.674610612788e-08       2.997634844168e-04      -1.365284525605e-06 
  128       3.616354209375e+03       1.096403678709e+00       0.000000000000e+00      -4.026398075535e+01       8.623830226934e-08       2.971919768162e-04      -1.355486041747e-06 
  129       3.650827236492e+03       1.101917133521e+00       0.000000000000e+00      -4.073147638934e+01       8.572906808264e-08       2.946323497482e-04      -1.346029611466e-06 
  130       3.685311310059e+03       1.106954158317e+00       0.000000000000e+00      -4.118403483648e+01       8.521930796606e-08       2.920857310784e-04      -1.336923719920e-06 
  131       3.719800183228e+03       1.111510154408e+00       0.000000000000e+00      -4.162116031154e+01       8.471069553751e-08       2.895561701125e-04      -1.328180836759e-06 
