# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  105       2.848096743016e+03       8.606761658206e-01       3.598889291884e-03      -2.661932040054e+01       9.903589902281e-08       3.711649550344e-04      -1.552501097767e-06 
  106       2.880135695149e+03       8.746206388761e-01       3.668799943954e-03      -2.727788717258e+01       9.842783041308e-08       3.672137995447e-04      -1.564218331473e-06 
  107       2.912349961154e+03       8.883328272612e-01       3.739432605042e-03      -2.793406732966e+01       9.782239419359e-08       3.633163048580e-04      -1.571410761659e-06 
  108       2.944736427343e+03       9.017994145967e-01       3.810795528274e-03      -2.858732833759e+01       9.722198891148e-08       3.594798096168e-04      -1.574350630460e-06 
  109       2.977291056923e+03       9.150071115762e-01       3.882897450132e-03      -2.923713242732e+01       9.662842752240e-08       3.557102907845e-04      -1.573366923274e-06 
  110       3.010008856872e+03       9.279426636021e-01       3.955747600962e-03      -2.988293678182e+01       9.604285960178e-08       3.520122483593e-04      -1.568848351925e-06 
  111       3.042883844816e+03       9.405928584206e-01       4.029355715496e-03      -3.052419372299e+01       9.546568981795e-08       3.483885873819e-04      -1.561246395388e-06 
  112       3.075909015913e+03       9.529445337572e-01       4.103732043361e-03      -3.116035089855e+01       9.489649259791e-08       3.448404972340e-04      -1.551078398105e-06 
  113       3.109076309732e+03       9.649845849522e-01       4.178887359598e-03      -3.179085146892e+01       9.433392291623e-08       3.413673282306e-04      -1.538930725861e-06 
  114       3.142376577130e+03       9.766999725958e-01       4.254832975175e-03      -3.241513429410e+01       9.377562313790e-08       3.379664655036e-04      -1.525461979250e-06 
  115       3.175799547134e+03       9.880777301640e-01       4.331580747504e-03      -3.303263412061e+01       9.321812584572e-08       3.346332001782e-04      -1.511406264711e-06 
  116       3.209335297699e+03       9.991053026075e-01       4.409141879515e-03      -3.364278652841e+01       9.265812759078e-08       3.313628164208e-04      -1.497436598974e-06 
  117       3.242978941643e+03       1.009771592498e+00       4.487523128758e-03      -3.424504305469e+01       9.209689108724e-08       3.281575739238e-04      -1.483719448523e-06 
  118       3.276726450893e+03       1.020066056005e+00       4.566730155001e-03      -3.483885826839e+01       9.153671346454e-08       3.250207486646e-04      -1.470285381357e-06 
  119       3.310573183970e+03       1.029978393767e+00       4.646768690234e-03      -3.542368540112e+01       9.097960482403e-08       3.219544468455e-04      -1.457161633700e-06 
  120       3.344513866173e+03       1.039498561455e+00       4.727644538474e-03      -3.599897657612e+01       9.042724798063e-08       3.189595234013e-04      -1.444371829934e-06 
  121       3.378542569751e+03       1.048616780333e+00       4.809363575567e-03      -3.656418303728e+01       8.988095636886e-08       3.160354988099e-04      -1.431935696384e-06 
  122       3.412652694081e+03       1.057323547822e+00       4.891931748994e-03      -3.711875537810e+01       8.934163008164e-08       3.131804742053e-04      -1.419868768964e-06 
  123       3.446836945844e+03       1.065609648056e+00       4.975355077671e-03      -3.766214377066e+01       8.880971000994e-08       3.103910447934e-04      -1.408182094682e-06 
