# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       6.672532655193e+13       1.697674441233e-25       6.946720532142e-09       9.605975373399e+21       1.409911927563e+04       2.113008658663e-10       9.407683377614e+17       4.010408495677e-09       5.454336194339e+43       7.404805123150e+32       3.960197061577e+33       3.760732865345e-08       3.773140092625e+43       9.227476287434e+43       3.964161222800e+30       1.206253222667e-17       1.999999999972e+00 
       6.626149607938e+13       1.721525069457e-25       6.994014256634e-09       9.472890731513e+21       1.409911927563e+04       2.127799719273e-10       9.342287366052e+17       4.038481355147e-09       5.304250442161e+43       7.251456093884e+32       3.878183778986e+33       3.760732865345e-08       3.669315438497e+43       8.973565881119e+43       3.882065844831e+30       1.223199874192e-17       1.999999999972e+00 
       6.580088985043e+13       1.745710775158e-25       7.043126970530e-09       9.341649892180e+21       1.409911927563e+04       2.142694317308e-10       9.277345944440e+17       4.066750724632e-09       5.158294566141e+43       7.101282830135e+32       3.797868941804e+33       3.760732865345e-08       3.568347704214e+43       8.726642270806e+43       3.801670612417e+30       1.240384609225e-17       1.999999999971e+00 
       6.534348545226e+13       1.770236265838e-25       7.092239684425e-09       9.212227310694e+21       1.409911927563e+04       2.157693177530e-10       9.212855952771e+17       4.095217979704e-09       5.016354925399e+43       6.954219563723e+32       3.719217376257e+33       3.760732865345e-08       3.470158276548e+43       8.486513202389e+43       3.722940316574e+30       1.257810772599e-17       1.999999999971e+00 
       6.488926062786e+13       1.795106315137e-25       7.143171387725e-09       9.084597796256e+21       1.409911927563e+04       2.172797029772e-10       9.148814253000e+17       4.123884505562e-09       4.878321006084e+43       6.810201888488e+32       3.642194636996e+33       3.760732865345e-08       3.374670705457e+43       8.252991711973e+43       3.645840477473e+30       1.275481756143e-17       1.999999999971e+00 
       6.443819327494e+13       1.820325763758e-25       7.192284101620e-09       8.958736507069e+21       1.409911927563e+04       2.188006608981e-10       9.085217728898e+17       4.152751697101e-09       4.744085335330e+43       6.669166732081e+32       3.566766992015e+33       3.760732865345e-08       3.281810644556e+43       8.025895980310e+43       3.570337329344e+30       1.293400999335e-17       1.999999999970e+00 
       6.399026144483e+13       1.845899520413e-25       7.243215804920e-09       8.834618945506e+21       1.409911927563e+04       2.203322655243e-10       9.022063285896e+17       4.181820958980e-09       4.613543397580e+43       6.531052328342e+32       3.492901407877e+33       3.760732865345e-08       3.191505793234e+43       7.805049191229e+43       3.496397805683e+30       1.311571989975e-17       1.999999999970e+00 
       6.354544334144e+13       1.871832562775e-25       7.294147508219e-09       8.712220953334e+21       1.409911927563e+04       2.218745913830e-10       8.959347850940e+17       4.211093705693e-09       4.486593553207e+43       6.395798190254e+32       3.420565535249e+33       3.760732865345e-08       3.103685840358e+43       7.590279393971e+43       3.423989524774e+30       1.329998264861e-17       1.999999999969e+00 
       6.310371732019e+13       1.898129938449e-25       7.345079211518e-09       8.591518707021e+21       1.409911927563e+04       2.234277135227e-10       8.897068372333e+17       4.240571361632e-09       4.363136959379e+43       6.263345083447e+32       3.349727694732e+33       3.760732865345e-08       3.018282409532e+43       7.381419369309e+43       3.353080775508e+30       1.348683410484e-17       1.999999999969e+00 
       6.266506188699e+13       1.924796765954e-25       7.396010914817e-09       8.472488713092e+21       1.409911927563e+04       2.249917075174e-10       8.835221819596e+17       4.270255361163e-09       4.243077493099e+43       6.133635000260e+32       3.280356862988e+33       3.760732865345e-08       2.935229005859e+43       7.178306499347e+43       3.283640503492e+30       1.367631063718e-17       1.999999999968e+00 
