# Matter power spectrum P(k) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.877805562171e-02       2.129944106095e+04 
       2.891671707342e-02       2.122282362113e+04 
       2.905567735477e-02       2.114609610428e+04 
       2.919494369764e-02       2.106961755465e+04 
       2.933452353923e-02       2.099242368086e+04 
       2.947442452912e-02       2.091535683488e+04 
       2.961465453670e-02       2.083851573296e+04 
       2.975522165879e-02       2.076098236659e+04 
       2.989613422774e-02       2.068355852370e+04 
       3.003740081976e-02       2.060625511961e+04 
       3.017903026373e-02       2.052890315278e+04 
       3.032103165030e-02       2.045077187002e+04 
       3.046341434147e-02       2.037307972398e+04 
       3.060618798060e-02       2.029518553742e+04 
       3.074936250286e-02       2.021733014142e+04 
       3.089294814618e-02       2.013900694333e+04 
       3.103695546267e-02       2.006101426219e+04 
       3.118139533069e-02       1.998275333945e+04 
       3.132627896737e-02       1.990492983984e+04 
       3.147161794181e-02       1.982639891650e+04 
       3.161742418888e-02       1.974819521442e+04 
       3.176371002376e-02       1.967004539704e+04 
       3.191048815714e-02       1.959147519130e+04 
       3.205777171120e-02       1.951294767435e+04 
       3.220557423640e-02       1.943471883498e+04 
       3.235390972919e-02       1.935591157384e+04 
       3.250279265050e-02       1.927764721182e+04 
       3.265223794532e-02       1.919932060773e+04 
       3.280226106330e-02       1.912059596206e+04 
       3.295287798034e-02       1.904206666860e+04 
       3.310410522150e-02       1.896363432807e+04 
       3.325595988503e-02       1.888494727105e+04 
       3.340845966782e-02       1.880676532862e+04 
       3.356162289216e-02       1.872848399925e+04 
       3.371546853415e-02       1.864954686923e+04 
       3.387001625358e-02       1.857132378466e+04 
       3.402528642561e-02       1.849299205854e+04 
       3.418130017432e-02       1.841458315870e+04 
       3.433807940814e-02       1.833614878436e+04 
       3.449564685750e-02       1.825759842777e+04 
       3.465402611467e-02       1.817947316782e+04 
       3.481324167607e-02       1.810108741237e+04 
       3.497331898716e-02       1.802287212300e+04 
       3.513428449020e-02       1.794473081671e+04 
       3.529616567497e-02       1.786633633960e+04 
       3.545899113271e-02       1.778824629395e+04 
       3.562279061368e-02       1.771025397042e+04 
       3.578759508839e-02       1.763194190827e+04 
       3.595343681292e-02       1.755381989472e+04 
       3.612034939870e-02       1.747611023174e+04 
       3.628836788698e-02       1.739799509259e+04 
       3.645752882853e-02       1.731990071033e+04 
       3.662787036882e-02       1.724206445222e+04 
       3.679943233941e-02       1.716416571049e+04 
       3.697225635575e-02       1.708643519892e+04 
       3.714638592227e-02       1.700829809033e+04 
       3.732186654520e-02       1.693065773131e+04 
       3.749874585386e-02       1.685259759577e+04 
       3.767707373123e-02       1.677487020165e+04 
       3.785690245460e-02       1.669740499096e+04 
       3.803828684731e-02       1.661963505246e+04 
       3.822128444257e-02       1.654205670412e+04 
       3.840595566054e-02       1.646399511262e+04 
       3.859236399995e-02       1.638658913574e+04 
       3.878057624586e-02       1.630866867665e+04 
       3.897066269485e-02       1.623103381340e+04 
       3.916269739988e-02       1.615349385780e+04 
       3.935675843639e-02       1.607582609001e+04 
       3.955292819236e-02       1.599781845659e+04 
       3.975129368449e-02       1.592003701169e+04 
       3.995194690371e-02       1.584223812351e+04 
       4.015498519306e-02       1.576443634189e+04 
       4.036051166168e-02       1.568666234577e+04 
       4.056863563920e-02       1.560879209515e+04 
       4.077947317502e-02       1.553049662322e+04 
       4.099314758816e-02       1.545273103252e+04 
       4.120979007366e-02       1.537487500188e+04 
       4.142954037252e-02       1.529624351524e+04 
       4.165254751349e-02       1.521777529892e+04 
