# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       3.749874585386e-02       6.918731024393e+06       6.872657913157e+06       1.033496527856e+03       9.815563699087e+02       0.000000000000e+00       6.909375602099e+06 
       3.767707373123e-02       6.887314033634e+06       6.841324562681e+06       1.021164711178e+03       9.708083937086e+02       0.000000000000e+00       6.877981318451e+06 
       3.785690245460e-02       6.855963449112e+06       6.810062572251e+06       1.021040156663e+03       9.539233483184e+02       0.000000000000e+00       6.846654202407e+06 
       3.803828684731e-02       6.824559866815e+06       6.778752981916e+06       1.015206371488e+03       9.238261395246e+02       0.000000000000e+00       6.815274952064e+06 
       3.822128444257e-02       6.793201948079e+06       6.747494245211e+06       9.869304098800e+02       9.047792218504e+02       0.000000000000e+00       6.783942166192e+06 
       3.840595566054e-02       6.761747936562e+06       6.716145140257e+06       9.577307953598e+02       9.031436460236e+02       0.000000000000e+00       6.752514220023e+06 
       3.859236399995e-02       6.730428186280e+06       6.684935403815e+06       9.506765465271e+02       8.970163665111e+02       0.000000000000e+00       6.721221302035e+06 
       3.878057624586e-02       6.698999073775e+06       6.653622275839e+06       9.473908340364e+02       8.852188329089e+02       0.000000000000e+00       6.689819995142e+06 
       3.897066269485e-02       6.667621220495e+06       6.622365984448e+06       9.350611403880e+02       8.774258232839e+02       0.000000000000e+00       6.658470809182e+06 
       3.916269739988e-02       6.636251776123e+06       6.591123923073e+06       9.294460497926e+02       8.609888051822e+02       0.000000000000e+00       6.627130946414e+06 
       3.935675843639e-02       6.604841167168e+06       6.559846798747e+06       9.189531662098e+02       8.374853330739e+02       0.000000000000e+00       6.595750890708e+06 
       3.955292819236e-02       6.573341851141e+06       6.528487363009e+06       8.846227789994e+02       8.275967005297e+02       0.000000000000e+00       6.564283159465e+06 
       3.975129368449e-02       6.541865902896e+06       6.497157440825e+06       8.606814980089e+02       8.176441481945e+02       0.000000000000e+00       6.532839758574e+06 
       3.995194690371e-02       6.510358985936e+06       6.465803018449e+06       8.651978055571e+02       7.922443978971e+02       0.000000000000e+00       6.501366420103e+06 
       4.015498519306e-02       6.478819594193e+06       6.434422747125e+06       8.545126586181e+02       7.786679173391e+02       0.000000000000e+00       6.469861658912e+06 
       4.036051166168e-02       6.447249344500e+06       6.403018385202e+06       8.254420474738e+02       7.784337253612e+02       0.000000000000e+00       6.438327113264e+06 
       4.056863563920e-02       6.415617865345e+06       6.371559835533e+06       8.180548923294e+02       7.626971599263e+02       0.000000000000e+00       6.406732467546e+06 
       4.077947317502e-02       6.383852457748e+06       6.339974842998e+06       8.175489549063e+02       7.479823206179e+02       0.000000000000e+00       6.375005114097e+06 
       4.099314758816e-02       6.352143957680e+06       6.308453714855e+06       7.993782830908e+02       7.463446853893e+02       0.000000000000e+00       6.343335745059e+06 
       4.120979007366e-02       6.320359316696e+06       6.276864087481e+06       7.794061392198e+02       7.323102037966e+02       0.000000000000e+00       6.311591459799e+06 
